Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte,Tiene_Audiencia
EN TRÁMITE,476369,Norma Civil,2005-04-07 13:43:36,Expediente 0,FERIA JUDICIAL,Baja,Alto,Belén,Primera Instancia,2027-09-29 22:12:19,Desfavorable,6,1734442.13,1223087.98,Persona Física,1591,COMERCIAL 1,Caso relacionado 0,DR. PAREDES,1
EN TRÁMITE,478544,Norma Penal,2007-05-19 14:45:07,Expediente 1,APELADO,Alta,Bajo,Andres,Segunda Instancia,2030-07-25 16:49:44,Conciliación,2,44841.49,1888468.992082754,Persona Física,769,PAZ TERCERA,Caso relacionado 1,DR. URQUIZA,1
APELADO,442962,Norma Comercial,2003-04-15 23:00:51,Expediente 2,FERIA JUDICIAL,Alta,Alto,Belén,Primera Instancia,2028-03-08 12:51:30,Desfavorable,5,2023370.04,520639.63,Persona Física,1125,LABORAL 5,Caso relacionado 2,DR. PAREDES,1
TERMINADO,366847,Norma Civil,2000-09-16 23:10:13,Expediente 3,TERMINADO,Baja,Alto,Andres,Primera Instancia,2029-07-14 15:43:00,Favorable,7,1181424.56,1194948.3,Empresa,1222,PAZ TERCERA,Caso relacionado 3,DR. PAREDES,1
TERMINADO,820488,Norma Laboral,2013-05-05 23:34:01,Expediente 4,TERMINADO,Baja,Bajo,Belén,Corte Suprema,2026-01-30 01:03:51,Desfavorable,4,4096157.66,3121292.11,Empresa,813,COMERCIAL 1,Caso relacionado 4,DR. PAREDES,1
EN TRÁMITE,696387,Norma Penal,2001-06-30 08:29:13,Expediente 5,FERIA JUDICIAL,Baja,Alto,Mariana,Segunda Instancia,2025-06-02 18:51:14,Favorable,3,1693279.74,1889147.33,Persona Física,226,CIVIL 2,Caso relacionado 5,DR. PAREDES,1
EN TRÁMITE,519065,Norma Civil,2012-03-30 03:12:57,Expediente 6,APELADO,Baja,Alto,Agostina,Corte Suprema,2026-04-06 03:08:05,Favorable,2,4139343.23,913789.01,Organismo Público,943,CIVIL 2,Caso relacionado 6,DESCONOCIDO,1
TERMINADO,787220,Norma Penal,2004-10-21 08:05:09,Expediente 7,APELADO,Alta,Moderado,Belén,Corte Suprema,2026-01-04 02:02:40,Desfavorable,9,12983.71,668909.07,Empresa,463,COMERCIAL 1,Caso relacionado 7,DR. URQUIZA,1
FERIA JUDICIAL,131585,Norma Civil,2011-04-03 01:38:19,Expediente 8,EN TRÁMITE,Baja,Alto,Andres,Primera Instancia,2028-06-07 07:25:07,Desfavorable,3,1546017.56,1334254.26,Empresa,237,CIVIL 2,Caso relacionado 8,DR. PAREDES,1
APELADO,515231,Norma Civil,2001-07-02 09:13:49,Expediente 9,TERMINADO,Media,Moderado,Andres,Corte Suprema,2025-12-27 12:16:21,Favorable,6,1213414.42,3759997.87,Persona Física,1050,COMERCIAL 1,Caso relacionado 9,DR. PAREDES,1
EN TRÁMITE,667873,Norma Penal,2001-03-07 07:20:20,Expediente 10,EN TRÁMITE,Alta,Bajo,Mariana,Segunda Instancia,2029-07-14 06:02:23,Conciliación,4,1175501.13,1375391.72,Organismo Público,1145,CIVIL 2,Caso relacionado 10,DRA. CINTIA FIAD,1
EN TRÁMITE,389102,Norma Laboral,2016-01-19 20:47:52,Expediente 11,EN TRÁMITE,Baja,Bajo,Andres,Corte Suprema,2027-03-03 19:22:50,En Proceso,8,350251.23,3952555.68,Persona Física,1934,CIVIL 2,Caso relacionado 11,DRA. CINTIA FIAD,1
TERMINADO,388161,Norma Civil,2024-04-11 06:13:39,Expediente 12,FERIA JUDICIAL,Alta,Moderado,Laura,Corte Suprema,2027-04-21 06:14:36,Favorable,4,943750.11,1943495.67,Empresa,506,CIVIL 2,Caso relacionado 12,DRA. CINTIA FIAD,1
APELADO,486821,Norma Civil,2010-06-21 06:59:22,Expediente 13,FERIA JUDICIAL,Media,Bajo,Agostina,Corte Suprema,2029-02-09 17:12:09,Desfavorable,2,2782192.35,720759.85,Empresa,1206,LABORAL 5,Caso relacionado 13,DR. URQUIZA,1
TERMINADO,915858,Norma Civil,2000-11-07 10:01:51,Expediente 14,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2028-07-05 00:19:14,Desfavorable,9,1463891.75,3565104.67,Persona Física,1735,LABORAL 5,Caso relacionado 14,DRA. CINTIA FIAD,1
