Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte
EN TRÁMITE,476369,Norma Civil,2005-04-07 13:43:36,Expediente 0,FERIA JUDICIAL,Baja,Alto,Belén,Primera Instancia,2027-09-29 22:12:19,Desfavorable,6,1734442.13,1223087.98,Persona Física,1591,COMERCIAL 1,Caso relacionado 0,DR. PAREDES
EN TRÁMITE,478544,Norma Penal,2007-05-19 14:45:07,Expediente 1,APELADO,Alta,Bajo,Andres,Segunda Instancia,2030-07-25 16:49:44,Conciliación,2,44841.49,774742.2,Persona Física,769,PAZ TERCERA,Caso relacionado 1,DR. URQUIZA
APELADO,442962,Norma Comercial,2003-04-15 23:00:51,Expediente 2,FERIA JUDICIAL,Media,Alto,Belén,Primera Instancia,2028-03-08 12:51:30,Desfavorable,5,2023370.04,520639.63,Persona Física,1125,LABORAL 5,Caso relacionado 2,DR. PAREDES
TERMINADO,366847,Norma Civil,2000-09-16 23:10:13,Expediente 3,TERMINADO,Baja,Alto,Andres,Primera Instancia,2029-07-14 15:43:00,Favorable,7,1181424.56,1194948.3,Empresa,1222,PAZ TERCERA,Caso relacionado 3,DR. PAREDES
TERMINADO,820488,Norma Laboral,2013-05-05 23:34:01,Expediente 4,TERMINADO,Baja,Bajo,Belén,Corte Suprema,2026-01-30 1:03:51,Desfavorable,4,4096157.66,3121292.11,Empresa,813,COMERCIAL 1,Caso relacionado 4,DR. PAREDES
EN TRÁMITE,696387,Norma Penal,2001-06-30 8:29:13,Expediente 5,FERIA JUDICIAL,Baja,Alto,Mariana,Segunda Instancia,2025-06-02 18:51:14,Favorable,3,1693279.74,1889147.33,Persona Física,226,CIVIL 2,Caso relacionado 5,DR. PAREDES
EN TRÁMITE,519065,Norma Civil,2012-03-30 3:12:57,Expediente 6,APELADO,Baja,Alto,Agostina,Corte Suprema,2026-04-06 3:08:05,Favorable,2,4139343.23,913789.01,Organismo Público,943,CIVIL 2,Caso relacionado 6,DR. URQUIZA
TERMINADO,787220,Norma Penal,2004-10-21 8:05:09,Expediente 7,APELADO,Alta,Moderado,Belén,Corte Suprema,2026-01-04 2:02:40,Desfavorable,9,12983.71,668909.07,Empresa,463,COMERCIAL 1,Caso relacionado 7,DR. URQUIZA
FERIA JUDICIAL,131585,Norma Civil,2011-04-03 1:38:19,Expediente 8,EN TRÁMITE,Baja,Alto,Andres,Primera Instancia,2028-06-07 7:25:07,Desfavorable,3,1546017.56,1334254.26,Empresa,237,CIVIL 2,Caso relacionado 8,DR. PAREDES
APELADO,515231,Norma Civil,2001-07-02 9:13:49,Expediente 9,TERMINADO,Media,Moderado,Andres,Corte Suprema,2025-12-27 12:16:21,Favorable,6,1213414.42,3759997.87,Persona Física,1050,COMERCIAL 1,Caso relacionado 9,DR. PAREDES
EN TRÁMITE,667873,Norma Penal,2001-03-07 7:20:20,Expediente 10,EN TRÁMITE,Alta,Bajo,Mariana,Segunda Instancia,2029-07-14 6:02:23,Conciliación,4,1175501.13,1375391.72,Organismo Público,1145,CIVIL 2,Caso relacionado 10,DRA. CINTIA FIAD
EN TRÁMITE,389102,Norma Laboral,2016-01-19 20:47:52,Expediente 11,EN TRÁMITE,Baja,Bajo,Andres,Corte Suprema,2027-03-03 19:22:50,En Proceso,8,350251.23,3952555.68,Persona Física,1934,CIVIL 2,Caso relacionado 11,DRA. CINTIA FIAD
TERMINADO,388161,Norma Civil,2024-04-11 6:13:39,Expediente 12,FERIA JUDICIAL,Alta,Moderado,Laura,Corte Suprema,2027-04-21 6:14:36,Favorable,4,943750.11,1943495.67,Empresa,506,CIVIL 2,Caso relacionado 12,DRA. CINTIA FIAD
APELADO,486821,Norma Civil,2010-06-21 6:59:22,Expediente 13,FERIA JUDICIAL,Media,Bajo,Agostina,Corte Suprema,2029-02-09 17:12:09,Desfavorable,2,2782192.35,720759.85,Empresa,1206,LABORAL 5,Caso relacionado 13,DR. URQUIZA
TERMINADO,915858,Norma Civil,2000-11-07 10:01:51,Expediente 14,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2028-07-05 0:19:14,Desfavorable,9,1463891.75,3565104.67,Persona Física,1735,LABORAL 5,Caso relacionado 14,DRA. CINTIA FIAD
APELADO,379922,Norma Laboral,2020-04-06 6:21:38,Expediente 15,TERMINADO,Media,Alto,Agostina,Segunda Instancia,2030-08-02 13:16:43,Conciliación,7,2092799.96,1844119.72,Persona Física,814,COMERCIAL 1,Caso relacionado 15,DR. URQUIZA
APELADO,800601,Norma Laboral,2012-07-07 20:55:58,Expediente 16,FERIA JUDICIAL,Baja,Alto,Mariana,Primera Instancia,2025-06-30 13:14:51,En Proceso,4,1890565.73,2840137.02,Organismo Público,767,LABORAL 5,Caso relacionado 16,DR. URQUIZA
APELADO,142229,Norma Comercial,2007-07-27 2:24:54,Expediente 17,EN TRÁMITE,Baja,Bajo,Belén,Primera Instancia,2029-09-12 7:14:30,Favorable,2,4380765.58,3934927.77,Organismo Público,634,COMERCIAL 1,Caso relacionado 17,DR. URQUIZA
EN TRÁMITE,186652,Norma Penal,2017-03-27 20:14:47,Expediente 18,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2028-01-07 2:57:17,Favorable,2,4527442.01,205450.52,Empresa,1567,PAZ TERCERA,Caso relacionado 18,DR. URQUIZA
FERIA JUDICIAL,349474,Norma Laboral,2000-04-11 21:59:46,Expediente 19,EN TRÁMITE,Baja,Bajo,Laura,Primera Instancia,2025-01-28 2:52:16,En Proceso,3,2469855.29,391294.77,Organismo Público,1339,PAZ TERCERA,Caso relacionado 19,DRA. CINTIA FIAD
TERMINADO,803724,Norma Penal,2016-12-21 13:40:09,Expediente 20,EN TRÁMITE,Baja,Alto,Mariana,Primera Instancia,2025-02-21 4:34:48,Favorable,4,1657478.19,2883224.68,Organismo Público,991,LABORAL 5,Caso relacionado 20,DR. PAREDES
FERIA JUDICIAL,360116,Norma Comercial,2016-02-07 4:45:55,Expediente 21,EN TRÁMITE,Alta,Moderado,Andres,Segunda Instancia,2026-06-11 16:56:40,En Proceso,2,542935.51,1130890.89,Empresa,1821,PAZ TERCERA,Caso relacionado 21,DR. PAREDES
TERMINADO,971310,Norma Penal,2018-06-04 13:43:10,Expediente 22,EN TRÁMITE,Baja,Bajo,Laura,Corte Suprema,2025-06-08 16:20:25,Desfavorable,3,4767480.37,741284.08,Empresa,618,PAZ TERCERA,Caso relacionado 22,DR. PAREDES
APELADO,943488,Norma Laboral,2019-07-06 17:18:59,Expediente 23,FERIA JUDICIAL,Baja,Bajo,Laura,Primera Instancia,2026-08-26 10:54:52,En Proceso,9,310532.46,162250.71,Empresa,1760,CIVIL 2,Caso relacionado 23,DRA. CINTIA FIAD
EN TRÁMITE,620985,Norma Penal,2004-02-20 4:20:25,Expediente 24,TERMINADO,Alta,Alto,Agostina,Primera Instancia,2029-10-15 14:41:50,Favorable,5,1495274.89,92277.61,Empresa,273,CIVIL 2,Caso relacionado 24,DR. PAREDES
FERIA JUDICIAL,119975,Norma Laboral,2018-07-15 7:53:59,Expediente 25,EN TRÁMITE,Alta,Bajo,Agostina,Segunda Instancia,2030-09-16 22:48:54,En Proceso,9,1497350.34,3099069.98,Persona Física,1934,COMERCIAL 1,Caso relacionado 25,DRA. CINTIA FIAD
EN TRÁMITE,257795,Norma Penal,2012-08-30 6:12:50,Expediente 26,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2030-09-29 10:42:37,Conciliación,8,1608802.42,542061.54,Empresa,232,PAZ TERCERA,Caso relacionado 26,DRA. CINTIA FIAD
TERMINADO,516495,Norma Laboral,2018-10-04 5:07:37,Expediente 27,FERIA JUDICIAL,Alta,Moderado,Laura,Corte Suprema,2028-07-30 21:46:00,Desfavorable,3,829791.35,1873543.86,Empresa,1444,COMERCIAL 1,Caso relacionado 27,DRA. CINTIA FIAD
EN TRÁMITE,309373,Norma Laboral,2019-04-06 6:43:48,Expediente 28,FERIA JUDICIAL,Alta,Moderado,Andres,Segunda Instancia,2029-10-18 1:47:07,Desfavorable,3,3917975.54,2425557.78,Empresa,768,COMERCIAL 1,Caso relacionado 28,DR. PAREDES
EN TRÁMITE,297133,Norma Penal,2022-03-10 20:41:09,Expediente 29,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2025-10-01 11:15:45,En Proceso,2,621264.33,1716265.44,Organismo Público,1466,PAZ TERCERA,Caso relacionado 29,DR. PAREDES
FERIA JUDICIAL,974829,Norma Comercial,2022-02-17 23:25:08,Expediente 30,FERIA JUDICIAL,Baja,Moderado,Agostina,Primera Instancia,2025-05-26 3:39:35,Favorable,6,3178184.23,113291.08,Empresa,496,LABORAL 5,Caso relacionado 30,DR. PAREDES
APELADO,804513,Norma Civil,2000-04-03 10:47:17,Expediente 31,EN TRÁMITE,Baja,Alto,Andres,Primera Instancia,2030-11-15 17:44:15,Conciliación,6,627991.67,3135088.5,Persona Física,1048,PAZ TERCERA,Caso relacionado 31,DR. URQUIZA
EN TRÁMITE,395286,Norma Comercial,2024-04-10 22:47:02,Expediente 32,TERMINADO,Media,Alto,Mariana,Corte Suprema,2025-08-25 5:41:02,Desfavorable,7,361972.83,47000.33,Persona Física,1133,CIVIL 2,Caso relacionado 32,DRA. CINTIA FIAD
APELADO,913348,Norma Penal,2000-06-08 23:32:36,Expediente 33,TERMINADO,Baja,Alto,Agostina,Segunda Instancia,2025-12-29 0:55:52,Desfavorable,6,4548053.22,3048750.13,Empresa,1727,PAZ TERCERA,Caso relacionado 33,DR. URQUIZA
TERMINADO,688612,Norma Comercial,2003-12-16 3:30:17,Expediente 34,FERIA JUDICIAL,Baja,Bajo,Belén,Corte Suprema,2028-02-16 13:53:17,Favorable,3,958742.54,3573751.45,Persona Física,502,LABORAL 5,Caso relacionado 34,DRA. CINTIA FIAD
EN TRÁMITE,276037,Norma Laboral,2016-04-10 19:38:13,Expediente 35,FERIA JUDICIAL,Alta,Moderado,Mariana,Segunda Instancia,2029-12-31 23:38:17,Favorable,7,4108038.27,1734195.48,Organismo Público,1883,COMERCIAL 1,Caso relacionado 35,DR. PAREDES
FERIA JUDICIAL,488076,Norma Civil,2022-09-17 21:42:05,Expediente 36,APELADO,Alta,Alto,Mariana,Primera Instancia,2027-12-12 2:48:24,Conciliación,9,2727708.05,2144492.18,Empresa,25,COMERCIAL 1,Caso relacionado 36,DRA. CINTIA FIAD
